umpire,country
BNJ Oxenford,Australia
C Shamshuddin,India
KN Ananthapadmanabhan,India
M Erasmus,South Africa
BR Doctrove,West Indies
VK Sharma,India
AL Hill,New Zealand
NJ Llong,England
BG Jerling,South Africa
Nand Kishore,India
K Bharatan,India
SL Shastri,India
PG Pathak,India
K Srinivasan,India
AY Dandekar,India
SD Fry,Australia
SS Hazare,India
DJ Harper,Australia
RB Tiffin,Zimbabwe
JD Cloete,South Africa
VA Kulkarni,India
Aleem Dar,Pakistan
Subroto Das,India
GAV Baxter,New Zealand
Asad Rauf,Pakistan
S Asnani,India
S Das,India
GA Pratapkumar,India
SD Ranade,India
SJA Taufel,Australia
TH Wijewardene,Sri Lanka
AV Jayaprakash,India
I Shivram,India
A Deshmukh,India
HDPK Dharmasena,Sri Lanka
AK Chaudhary,India
SK Tarapore,India
MR Benson,England
SJ Davis,Australia
CB Gaffaney,New Zealand
RE Koertzen,South Africa
K Srinath,India
RJ Tucker,Australia
AM Saheba,India
IL Howell,South Africa
CK Nandan,India
PR Reiffel,Australia
RM Deshpande,India
PG Pathak,India
BF Bowden,New Zealand
VA Kulkarni,India
JD Cloete,South Africa
YC Barde,India
K Hariharan,India
Nitin Menon,India
S Ravi,India
RK Illingworth,England
